# 2025-02-06 18:54:31.750665
# gamma = 5/3
# xi0 = 1.151666417967 (E_error=1.92e-12)
# Pc = 0.3061936398892737
# xi  a  v  p  u/u1  P/P1  T/T1
1.0886664 5.4786709e-01 9.4824187e-01 7.6781699e-01 8.9636988e-01 6.8611034e-01 1.2523299e+00
1.0876664 5.4308870e-01 9.4747829e-01 7.6534395e-01 8.9482536e-01 6.8264464e-01 1.2569671e+00
1.0866664 5.3836380e-01 9.4671680e-01 7.6290041e-01 8.9328415e-01 6.7921447e-01 1.2616273e+00
1.0856664 5.3369168e-01 9.4595743e-01 7.6048606e-01 8.9174625e-01 6.7581941e-01 1.2663106e+00
1.0846664 5.2907159e-01 9.4520019e-01 7.5810061e-01 8.9021168e-01 6.7245903e-01 1.2710171e+00
1.0836664 5.2450282e-01 9.4444508e-01 7.5574377e-01 8.8868044e-01 6.6913293e-01 1.2757470e+00
1.0826664 5.1998468e-01 9.4369212e-01 7.5341525e-01 8.8715252e-01 6.6584069e-01 1.2805006e+00
1.0816664 5.1551647e-01 9.4294131e-01 7.5111475e-01 8.8562793e-01 6.6258192e-01 1.2852779e+00
1.0806664 5.1109751e-01 9.4219268e-01 7.4884201e-01 8.8410669e-01 6.5935621e-01 1.2900791e+00
1.0796664 5.0672713e-01 9.4144622e-01 7.4659673e-01 8.8258879e-01 6.5616319e-01 1.2949044e+00
1.0786664 5.0240467e-01 9.4070195e-01 7.4437865e-01 8.8107423e-01 6.5300246e-01 1.2997539e+00
1.0776664 4.9812949e-01 9.3995988e-01 7.4218749e-01 8.7956302e-01 6.4987364e-01 1.3046279e+00
1.0766664 4.9390094e-01 9.3922001e-01 7.4002299e-01 8.7805517e-01 6.4677637e-01 1.3095265e+00
1.0756664 4.8971839e-01 9.3848237e-01 7.3788489e-01 8.7655067e-01 6.4371026e-01 1.3144498e+00
1.0746664 4.8558123e-01 9.3774695e-01 7.3577292e-01 8.7504953e-01 6.4067496e-01 1.3193981e+00
1.0736664 4.8148885e-01 9.3701377e-01 7.3368683e-01 8.7355175e-01 6.3767010e-01 1.3243715e+00
1.0726664 4.7744064e-01 9.3628283e-01 7.3162636e-01 8.7205734e-01 6.3469534e-01 1.3293702e+00
1.0716664 4.7343602e-01 9.3555415e-01 7.2959127e-01 8.7056629e-01 6.3175032e-01 1.3343943e+00
1.0706664 4.6947440e-01 9.3482773e-01 7.2758131e-01 8.6907862e-01 6.2883469e-01 1.3394441e+00
1.0696664 4.6555521e-01 9.3410359e-01 7.2559624e-01 8.6759432e-01 6.2594812e-01 1.3445196e+00
1.0686664 4.6167789e-01 9.3338172e-01 7.2363581e-01 8.6611338e-01 6.2309027e-01 1.3496212e+00
1.0676664 4.5784189e-01 9.3266214e-01 7.2169979e-01 8.6463583e-01 6.2026081e-01 1.3547489e+00
1.0666664 4.5404665e-01 9.3194486e-01 7.1978795e-01 8.6316165e-01 6.1745941e-01 1.3599030e+00
1.0656664 4.5029164e-01 9.3122989e-01 7.1790005e-01 8.6169085e-01 6.1468574e-01 1.3650836e+00
1.0646664 4.4657633e-01 9.3051722e-01 7.1603588e-01 8.6022343e-01 6.1193950e-01 1.3702910e+00
1.0636664 4.4290019e-01 9.2980688e-01 7.1419519e-01 8.5875939e-01 6.0922037e-01 1.3755252e+00
1.0626664 4.3926272e-01 9.2909887e-01 7.1237778e-01 8.5729874e-01 6.0652803e-01 1.3807865e+00
1.0616664 4.3566340e-01 9.2839319e-01 7.1058343e-01 8.5584146e-01 6.0386218e-01 1.3860751e+00
1.0606664 4.3210174e-01 9.2768985e-01 7.0881191e-01 8.5438757e-01 6.0122252e-01 1.3913911e+00
1.0596664 4.2857725e-01 9.2698886e-01 7.0706302e-01 8.5293706e-01 5.9860875e-01 1.3967348e+00
1.0586664 4.2508944e-01 9.2629023e-01 7.0533654e-01 8.5148993e-01 5.9602057e-01 1.4021063e+00
1.0576664 4.2163784e-01 9.2559396e-01 7.0363227e-01 8.5004619e-01 5.9345771e-01 1.4075058e+00
1.0566664 4.1822197e-01 9.2490006e-01 7.0195001e-01 8.4860583e-01 5.9091986e-01 1.4129336e+00
1.0556664 4.1484139e-01 9.2420853e-01 7.0028955e-01 8.4716885e-01 5.8840675e-01 1.4183897e+00
1.0546664 4.1149562e-01 9.2351939e-01 6.9865069e-01 8.4573525e-01 5.8591811e-01 1.4238745e+00
1.0536664 4.0818423e-01 9.2283264e-01 6.9703323e-01 8.4430504e-01 5.8345364e-01 1.4293880e+00
1.0526664 4.0490677e-01 9.2214828e-01 6.9543699e-01 8.4287820e-01 5.8101309e-01 1.4349305e+00
1.0516664 4.0166281e-01 9.2146631e-01 6.9386177e-01 8.4145475e-01 5.7859618e-01 1.4405023e+00
1.0506664 3.9845191e-01 9.2078676e-01 6.9230738e-01 8.4003467e-01 5.7620266e-01 1.4461034e+00
1.0496664 3.9527366e-01 9.2010961e-01 6.9077363e-01 8.3861797e-01 5.7383225e-01 1.4517341e+00
1.0486664 3.9212764e-01 9.1943488e-01 6.8926034e-01 8.3720465e-01 5.7148470e-01 1.4573946e+00
1.0476664 3.8901344e-01 9.1876257e-01 6.8776733e-01 8.3579470e-01 5.6915975e-01 1.4630851e+00
1.0466664 3.8593066e-01 9.1809268e-01 6.8629442e-01 8.3438812e-01 5.6685717e-01 1.4688057e+00
1.0456664 3.8287890e-01 9.1742522e-01 6.8484143e-01 8.3298491e-01 5.6457669e-01 1.4745568e+00
1.0446664 3.7985777e-01 9.1676020e-01 6.8340819e-01 8.3158507e-01 5.6231807e-01 1.4803385e+00
1.0436664 3.7686687e-01 9.1609762e-01 6.8199452e-01 8.3018859e-01 5.6008107e-01 1.4861510e+00
1.0426664 3.7390584e-01 9.1543748e-01 6.8060025e-01 8.2879548e-01 5.5786546e-01 1.4919945e+00
1.0416664 3.7097430e-01 9.1477979e-01 6.7922522e-01 8.2740572e-01 5.5567099e-01 1.4978692e+00
1.0406664 3.6807187e-01 9.1412455e-01 6.7786925e-01 8.2601932e-01 5.5349743e-01 1.5037754e+00
1.0396664 3.6519820e-01 9.1347176e-01 6.7653220e-01 8.2463628e-01 5.5134456e-01 1.5097133e+00
1.0386664 3.6235292e-01 9.1282143e-01 6.7521388e-01 8.2325659e-01 5.4921215e-01 1.5156830e+00
1.0376664 3.5953568e-01 9.1217356e-01 6.7391415e-01 8.2188024e-01 5.4709997e-01 1.5216848e+00
1.0366664 3.5674614e-01 9.1152816e-01 6.7263284e-01 8.2050724e-01 5.4500780e-01 1.5277189e+00
1.0356664 3.5398394e-01 9.1088523e-01 6.7136980e-01 8.1913758e-01 5.4293543e-01 1.5337855e+00
1.0346664 3.5124876e-01 9.1024477e-01 6.7012487e-01 8.1777126e-01 5.4088264e-01 1.5398848e+00
1.0336664 3.4854026e-01 9.0960678e-01 6.6889792e-01 8.1640826e-01 5.3884921e-01 1.5460171e+00
1.0326664 3.4585810e-01 9.0897127e-01 6.6768877e-01 8.1504860e-01 5.3683494e-01 1.5521826e+00
1.0316664 3.4320197e-01 9.0833823e-01 6.6649729e-01 8.1369226e-01 5.3483962e-01 1.5583815e+00
1.0306664 3.4057155e-01 9.0770768e-01 6.6532333e-01 8.1233924e-01 5.3286304e-01 1.5646141e+00
1.0296664 3.3796652e-01 9.0707962e-01 6.6416675e-01 8.1098954e-01 5.3090500e-01 1.5708804e+00
1.0286664 3.3538658e-01 9.0645403e-01 6.6302740e-01 8.0964315e-01 5.2896531e-01 1.5771809e+00
1.0276664 3.3283141e-01 9.0583094e-01 6.6190514e-01 8.0830006e-01 5.2704376e-01 1.5835157e+00
1.0266664 3.3030071e-01 9.0521033e-01 6.6079983e-01 8.0696028e-01 5.2514016e-01 1.5898850e+00
1.0256664 3.2779420e-01 9.0459222e-01 6.5971135e-01 8.0562379e-01 5.2325432e-01 1.5962892e+00
1.0246664 3.2531156e-01 9.0397660e-01 6.5863954e-01 8.0429059e-01 5.2138604e-01 1.6027283e+00
1.0236664 3.2285253e-01 9.0336347e-01 6.5758429e-01 8.0296068e-01 5.1953515e-01 1.6092026e+00
1.0226664 3.2041681e-01 9.0275284e-01 6.5654545e-01 8.0163405e-01 5.1770145e-01 1.6157125e+00
1.0216664 3.1800412e-01 9.0214470e-01 6.5552290e-01 8.0031069e-01 5.1588476e-01 1.6222581e+00
1.0206664 3.1561419e-01 9.0153906e-01 6.5451650e-01 7.9899060e-01 5.1408490e-01 1.6288396e+00
1.0196664 3.1324674e-01 9.0093592e-01 6.5352614e-01 7.9767378e-01 5.1230169e-01 1.6354574e+00
1.0186664 3.1090150e-01 9.0033527e-01 6.5255168e-01 7.9636021e-01 5.1053495e-01 1.6421116e+00
1.0176664 3.0857821e-01 8.9973713e-01 6.5159300e-01 7.9504989e-01 5.0878452e-01 1.6488025e+00
1.0166664 3.0627661e-01 8.9914148e-01 6.5064998e-01 7.9374282e-01 5.0705022e-01 1.6555303e+00
1.0156664 3.0399644e-01 8.9854833e-01 6.4972251e-01 7.9243898e-01 5.0533187e-01 1.6622953e+00
1.0146664 3.0173745e-01 8.9795768e-01 6.4881045e-01 7.9113838e-01 5.0362932e-01 1.6690978e+00
1.0136664 2.9949939e-01 8.9736953e-01 6.4791370e-01 7.8984101e-01 5.0194239e-01 1.6759380e+00
